연도,캠페인유형,캠페인,광고그룹,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025,쇼핑검색,01.브랜드형_쇼검@naver_shoppingbrand,01-1.커튼@cpc_curtainset_h-s,1364132,1753726,1583,6,2596500,1.903408175,0.0009026495587,0.003790271636
2025,쇼핑검색,01.음처기_MO@naver_shoppingbrand,00-0.브랜드형_음처기_MO@cpc_fd471_h-s,3755114,2129901,1704,8,2868010,0.7637611002,0.0008000371848,0.004694835681
2025,쇼핑검색,01.음처기_PC@naver_shoppingbrand,00-0.브랜드형_음처기_PC@cpc_fd471_h-s,79717,315272,54,0,0,0,0.0001712806719,0
2025,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_급식기_MO@cpc_pf32_h,240416,325391,433,60,1383500,5.754608678,0.00133070675,0.1385681293
2025,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_급식기_MO@cpc_pf32_h-s,715792,521638,1123,13,850010,1.187509779,0.002152833958,0.01157613535
2025,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_장난감_MO@cpc_pt40_h,79673,88958,146,12,140600,1.764713265,0.001641223948,0.08219178082
2025,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_장난감_MO@cpc_pt40_h-s,117205,202761,251,13,421030,3.59225289,0.001237910644,0.05179282869
2025,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_정수기_MO@cpc_pw30_h,79354,37546,203,2,214300,2.700556998,0.005406701113,0.009852216749
2025,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_정수기_MO@cpc_pw30_h-s,188771,152864,467,10,337110,1.785814558,0.00305500314,0.02141327623
2025,쇼핑검색,01.펫_PC@naver_shoppingbrand,00-0.브랜드형_급식기_PC@cpc_pf32_h,1661,160113,5,0,0,0,0.00003122794526,0
2025,쇼핑검색,01.펫_PC@naver_shoppingbrand,00-0.브랜드형_급식기_PC@cpc_pf32_h-s,3399,132419,9,0,0,0,0.00006796607738,0
2025,쇼핑검색,01.펫_PC@naver_shoppingbrand,00-0.브랜드형_장난감_PC@cpc_pt40_h-s,0,14626,0,0,0,0,0,0
2025,쇼핑검색,01.펫_PC@naver_shoppingbrand,00-0.브랜드형_정수기_PC@cpc_pw30_h,1001,21023,3,0,0,0,0.0001427008514,0
2025,쇼핑검색,01.펫_PC@naver_shoppingbrand,00-0.브랜드형_정수기_PC@cpc_pw30_h-s,5984,47799,17,0,0,0,0.0003556559761,0
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A01_홈카메라_MO@cpc_mc05_h,1315600,152656,1054,268,5352370,4.068387048,0.006904412535,0.2542694497
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_IC021_h-s,1026993,395717,1262,39,2844110,2.769356753,0.0031891478,0.03090332805
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_MC0510_h-s,13599817,679740,6367,721,75845730,5.576966955,0.009366816724,0.1132401445
