월,캠페인,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025-02,09.센서_확장_MO@naver_powerlink,15532,12216,58,0,0,0.0,0.004747871643745907,0.0
2025-02,09.센서_확장_PC@naver_powerlink,2992,5648,14,2,0,0.0,0.002478753541076487,0.14285714285714285
2025-03,00.브랜드_MO@naver_powerlink,473220,52436,751,212,3734420,7.8915092346054685,0.014322221374628118,0.2822902796271638
2025-03,00.브랜드_PC@naver_powerlink,300839,22118,603,249,4114700,13.677415494666583,0.027262862826657023,0.4129353233830846
2025-03,00.브랜드형@naver_shoppingbrand,8756,1057,26,14,104800,11.968935587026039,0.02459791863765374,0.5384615384615384
2025-03,00.자상호_MO@naver_shoppingsearch,12829036,281869,8116,3146,61523280,4.795627668361052,0.0287935175560278,0.3876293740758995
2025-03,00.자상호_PC@naver_shoppingsearch,1427613,31153,1121,520,8700920,6.094732956340409,0.035983693384264756,0.463871543264942
2025-03,01.브랜드형_쇼검@naver_shoppingbrand,425590,331157,618,62,1160170,2.7260273972602738,0.0018661843174083593,0.10032362459546926
2025-03,01.신규 자사명@naver_brandsearch,0,70320,26371,13011,214176120,0.0,0.375014220705347,0.4933828827120701
2025-03,01.펫_MO@naver_shoppingbrand,128755,138737,246,17,277100,2.152149431090055,0.0017731391049251462,0.06910569105691057
2025-03,01.펫_PC@naver_shoppingbrand,990,50398,3,0,0,0.0,5.952617167347911e-05,0.0
2025-03,01.홈카메라_메인_MO@naver_powerlink,1027356,86129,682,113,1966030,1.913679386697503,0.007918355025601133,0.1656891495601173
2025-03,01.홈카메라_메인_PC@naver_powerlink,58828,28652,68,2,0,0.0,0.002373307273488762,0.029411764705882353
2025-03,01.홈카메라_쿠팡_MO@naver_powerlink,2756655,463019,2445,391,8243470,2.9903887138579184,0.005280560840915815,0.15991820040899796
2025-03,01.홈카메라_쿠팡_PC@naver_powerlink,677567,337978,684,64,1560900,2.303683620955566,0.0020238003657042764,0.0935672514619883
2025-03,01.홈카메라_확장_MO@naver_powerlink,298342,19207,352,53,963500,3.2295151202311443,0.01832665174155256,0.15056818181818182
2025-03,01.홈카메라_확장_PC@naver_powerlink,70367,9382,104,4,292900,4.162462517941648,0.011085056491153272,0.038461538461538464
2025-03,01.홈캠_MO@naver_shoppingsearch,14187272,405865,7679,1650,35751970,2.5200031408434262,0.018920084264472177,0.214871728089595
2025-03,01.홈캠_PC@naver_shoppingsearch,2242207,262623,1344,259,6229060,2.7780931912174034,0.00511760203790224,0.19270833333333334
2025-03,02.로봇청소기_메인_MO@naver_powerlink,404382,317559,409,1,9400,0.023245347221191842,0.0012879496408541404,0.0024449877750611247
2025-03,02.로봇청소기_메인_PC@naver_powerlink,79376,465329,89,6,52600,0.6626688167708124,0.0001912625260836956,0.06741573033707865
2025-03,02.로봇청소기_확장_MO@naver_powerlink,28006,6898,69,1,0,0.0,0.010002899391127864,0.014492753623188406
2025-03,02.로봇청소기_확장_PC@naver_powerlink,155089,13375,99,1,699000,4.507089477654766,0.007401869158878504,0.010101010101010102
2025-03,02.커튼_MO@naver_shoppingsearch,323884,23918,444,3,416900,1.2871892405923109,0.018563425035538088,0.006756756756756757
2025-03,02.커튼_PC@naver_shoppingsearch,379247,64222,277,16,308000,0.8121356266496504,0.00431316371336925,0.05776173285198556
2025-03,03.반려_메인_MO@naver_powerlink,762905,64716,762,114,2219400,2.9091433402586167,0.011774522529204525,0.14960629921259844
2025-03,03.반려_메인_PC@naver_powerlink,78782,50018,89,5,47800,0.6067375796501739,0.0017793594306049821,0.056179775280898875
2025-03,03.반려_확장_MO@naver_powerlink,318483,25339,387,119,2357400,7.401964940043896,0.01527289948301038,0.30749354005167956
2025-03,03.반려_확장_PC@naver_powerlink,99121,22485,126,45,621600,6.271123172687927,0.005603735823882588,0.35714285714285715
2025-03,03.조명_MO@naver_shoppingsearch,830357,114474,939,93,2100300,2.5293939835516532,0.008202735992452435,0.09904153354632587
2025-03,03.조명_PC@naver_shoppingsearch,226050,180413,242,59,300090,1.3275381552753815,0.0013413667529501754,0.24380165289256198
2025-03,04.리모컨허브_메인_MO@naver_powerlink,16885,23728,64,18,161290,9.552265324252295,0.0026972353337828725,0.28125
2025-03,04.리모컨허브_메인_PC@naver_powerlink,2596,22229,9,1,30200,11.633281972265022,0.0004048765126636376,0.1111111111111111
2025-03,04.센서_PC@naver_shoppingsearch,359172,58855,478,36,645600,1.7974675086031204,0.008121654914620679,0.07531380753138076
2025-03,05.전원_MO@naver_shoppingsearch,1393007,103493,1684,211,3607300,2.589577798245091,0.016271631897809512,0.12529691211401425
2025-03,05.전원_PC@naver_shoppingsearch,464563,71662,460,82,1114500,2.3990287646670096,0.006419022634031983,0.1782608695652174
2025-03,05.커튼set_메인_MO@naver_powerlink,1092630,42554,712,260,5424900,4.964992723977925,0.016731682098040136,0.3651685393258427
2025-03,05.커튼set_메인_PC@naver_powerlink,372119,65640,253,46,1459300,3.921594973650902,0.003854357099329677,0.18181818181818182
2025-03,05.커튼set_확장_MO@naver_powerlink,6622,1241,23,0,0,0.0,0.018533440773569703,0.0
